DRG Definition,Provider State,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,HI,42,31743.71429,12092.33333,7217.619048
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VT,46,23823.17391,8648.173913,7374.173913
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,AK,48,42759.9375,8476.5625,7393.625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WY,51,29218.84314,8212.784314,5865.058824
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DC,54,43182.92593,9645.62963,7007.055556
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,RI,82,22222.14634,8302.878049,6575.317073
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NM,108,32405.64815,7146.935185,5616.398148
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ID,110,23719.44545,7064.127273,5246.645455
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,UT,110,25822.97273,7030.445455,5297.418182
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SD,132,31032.81061,6458.719697,5310.780303
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,DE,149,25203.88591,7263.241611,5798.624161
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MT,179,19924.56425,7018.564246,5394.541899
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND,181,18482.01657,6766.220994,5498.469613
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ME,194,17226.5,7604.474227,5830.412371
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NV,200,47650.84,7281.8,5781.83
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NH,237,29998.83122,7855.07173,6079.729958
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR,288,27313.1875,7693.885417,5924.458333
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NE,301,22843.03654,6972.345515,5465.744186
